InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,InvoiceDateParsed,TransactionDate,Year,Month,Revenue,IsReturn
536525,22632,HAND WARMER RED POLKA DOT,2,2011-03-15 10:03:00,4.24,15812,Netherlands,2011-03-15 10:03:00,2011-03-15,2011,2011-03,8.48,False
536526,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2011-02-11 13:39:00,1.29,13879,Spain,2011-02-11 13:39:00,2011-02-11,2011,2011-02,1.29,False
536526,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2011-03-05 14:13:00,4.91,15395,France,2011-03-05 14:13:00,2011-03-05,2011,2011-03,9.82,False
536526,84406B,CREAM CUPID HEARTS COAT HANGER,6,2011-03-29 11:52:00,2.99,14557,Germany,2011-03-29 11:52:00,2011-03-29,2011,2011-03,17.94,False
536527,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12,2011-01-20 15:51:00,1.66,GUEST,Germany,2011-01-20 15:51:00,2011-01-20,2011,2011-01,19.919999999999998,False
536527,22632,HAND WARMER RED POLKA DOT,3,2011-03-04 12:16:00,3.21,16997,United Kingdom,2011-03-04 12:16:00,2011-03-04,2011,2011-03,9.629999999999999,False
536527,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-03-02 18:06:00,2.34,15087,France,2011-03-02 18:06:00,2011-03-02,2011,2011-03,7.02,False
536528,84029E,RED WOOLLY HOTTIE WHITE HEART,4,2011-01-16 13:55:00,7.87,17306,Germany,2011-01-16 13:55:00,2011-01-16,2011,2011-01,31.48,False
536528,22632,HAND WARMER RED POLKA DOT,24,2011-02-06 13:20:00,6.26,16339,Belgium,2011-02-06 13:20:00,2011-02-06,2011,2011-02,150.24,False
536528,84879,ASSORTED COLOUR BIRD ORNAMENT,12,2011-01-19 10:40:00,4.48,15109,Netherlands,2011-01-19 10:40:00,2011-01-19,2011,2011-01,53.760000000000005,False
536529,71053,WHITE METAL LANTERN,12,2011-01-30 13:20:00,7.46,18165,France,2011-01-30 13:20:00,2011-01-30,2011,2011-01,89.52,False
536529,22633,HAND WARMER UNION JACK,3,2011-03-17 16:28:00,4.65,13852,United Kingdom,2011-03-17 16:28:00,2011-03-17,2011,2011-03,13.950000000000001,False
536529,84029E,RED WOOLLY HOTTIE WHITE HEART,12,2011-01-11 11:10:00,2.78,13128,United Kingdom,2011-01-11 11:10:00,2011-01-11,2011,2011-01,33.36,False
536530,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,2011-03-09 09:06:00,7.55,13618,United Kingdom,2011-03-09 09:06:00,2011-03-09,2011,2011-03,181.2,False
536530,84029E,UNKNOWN_ITEM,12,2011-02-06 15:40:00,5.58,16661,Germany,2011-02-06 15:40:00,2011-02-06,2011,2011-02,66.96000000000001,False
536530,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-03-11 12:35:00,2.43,18060,Spain,2011-03-11 12:35:00,2011-03-11,2011,2011-03,9.72,False
536531,84879,ASSORTED COLOUR BIRD ORNAMENT,12,2011-03-23 16:19:00,4.12,16291,Spain,2011-03-23 16:19:00,2011-03-23,2011,2011-03,49.44,False
